Image 1: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 95.98%
Image 2: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 90.44%
Image 3: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 4: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 5: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 6: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 7: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 8: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 9: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 10: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 11: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 12: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.51%
Image 13: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 14: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 15: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 16: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 17: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 18: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 19: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 20: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 21: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 22: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 23: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 98.23%
Image 24: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 25: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.95%
Image 26: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 27: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.94%
Image 28: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.98%
Image 29: Predicted Gesture: 2, Correct Gesture: 0, Confidence: 77.75%
Image 30: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 69.08%
Image 31: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 97.66%
Image 32: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 97.66%
Image 33: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.82%
Image 34: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.95%
Image 35: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.99%
Image 36: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 37: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 38: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 39: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 40: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 41: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 42: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.88%
Image 43: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.88%
Image 44: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.93%
Image 45: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 46: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.99%
Image 47: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 48: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 49: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 50: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 51: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 52: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 53: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.50%
Image 54: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.50%
Image 55: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.42%
Image 56: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 95.99%
Image 57: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.70%
Image 58: Predicted Gesture: 9, Correct Gesture: 0, Confidence: 99.37%
Image 59: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 59.51%
Image 60: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.20%
Image 61: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.60%
Image 62: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.83%
Image 63: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 99.60%
Image 64: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 91.59%
Image 65: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 66: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 67: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.94%
Image 68: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 99.91%
Image 69: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 82.72%
Image 70: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 35.37%
Image 71: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 80.17%
Image 72: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 98.94%
Image 73: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 86.20%
Image 74: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 75: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 76: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 77: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.91%
Image 78: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.93%
Image 79: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 97.65%
Image 80: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 95.06%
Image 81: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 54.20%
Image 82: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 48.23%
Image 83: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.95%
Image 84: Predicted Gesture: 6, Correct Gesture: 1, Confidence: 97.96%
Image 85: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.51%
Image 86: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 93.30%
Image 87: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.67%
Image 88: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.32%
Image 89: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 95.03%
Image 90: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 95.03%
Image 91: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 61.80%
Image 92: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 55.22%
Image 93: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 67.90%
Image 94: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.93%
Image 95: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 97.60%
Image 96: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.68%
Image 97: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.86%
Image 98: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 99: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 100: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.95%
Image 101: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.95%
Image 102: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 89.97%
Image 103: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 82.52%
Image 104: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 52.72%
Image 105: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 106: Predicted Gesture: 6, Correct Gesture: 1, Confidence: 45.09%
Image 107: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 108: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.90%
Image 109: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 110: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 100.00%
Image 111: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 112: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 113: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 70.24%
Image 114: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 95.76%
Image 115: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 93.31%
Image 116: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.13%
Image 117: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 99.21%
Image 118: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 90.85%
Image 119: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 90.86%
Image 120: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.89%
Image 121: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.32%
Image 122: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 69.58%
Image 123: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.98%
Image 124: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 84.66%
Image 125: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.92%
Image 126: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 77.94%
Image 127: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 47.44%
Image 128: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.82%
Image 129: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 68.83%
Image 130: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.88%
Image 131: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 74.40%
Image 132: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 96.50%
Image 133: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 100.00%
Image 134: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.75%
Image 135: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.51%
Image 136: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.92%
Image 137: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.62%
Image 138: Predicted Gesture: 8, Correct Gesture: 2, Confidence: 54.92%
Image 139: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.96%
Image 140: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 95.59%
Image 141: Predicted Gesture: 5, Correct Gesture: 2, Confidence: 97.92%
Image 142: Predicted Gesture: 4, Correct Gesture: 2, Confidence: 59.92%
Image 143: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 95.73%
Image 144: Predicted Gesture: 1, Correct Gesture: 2, Confidence: 98.52%
Image 145: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 98.64%
Image 146: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 84.37%
Image 147: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 69.97%
Image 148: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 54.55%
