Image 1: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 90.44%
Image 2: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 3: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 4: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 5: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 6: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 7: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 8: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 9: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 10: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 11: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 12: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 69.08%
Image 13: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 97.66%
Image 14: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 97.66%
Image 15: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.82%
Image 16: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.99%
Image 17: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 18: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.88%
Image 19: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.88%
Image 20: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.93%
Image 21: Predicted Gesture: 1, Correct Gesture: 0, Confidence: 99.99%
Image 22: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 100.00%
Image 23: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.50%
Image 24: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.50%
Image 25: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 75.42%
Image 26: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 95.99%
Image 27: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.70%
Image 28: Predicted Gesture: 9, Correct Gesture: 0, Confidence: 99.37%
Image 29: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 59.51%
Image 30: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 99.20%
Image 31: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.83%
Image 32: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 99.91%
Image 33: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 82.72%
Image 34: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 35.37%
